style_code,name,brand,date,retail_price,colorway,story,wants,name_join,release_month,release_dow,wmns,collab,retro,kids,colorway_nlp,main_color,resale_price
AQ1090-004,Nike React Element 87 Total Orange,Nike,10/11/18,160,Wolf Grey/Thunder Blue-Total Orange-Black,"Covered in Wolf Grey throughout the majority if the signature translucent mesh upper, this Nike React Element 87 is then hit with Thunder Blue, Total Orange, and Black accents throughout for contrast and pops of color. An off-white/Sail midsole with Team Orange detailing completes the look along with cork insoles.",556,nike react element 87 total orange,Oct,Thursday,FALSE,FALSE,FALSE,FALSE,wolf grey thunder blue total orange black,Blue,174
BB6510,adidas WMNS Ultra Boost X Trace Maroon,Adidas,10/11/18,180,Trace Maroon / Ash Pearl / Chalk Coral,"Designed specifically for the female foot, this shoe features a dual-density heel counter and adaptive arch construction that help lock your foot in place and support your arch through your run or all-day wear. 360 degrees of breathability and sweat-wicking Primeknit keep feel feeling fresh and dry, while boost cushioning and Stretchweb construction make sure you get the most energy out of every step.",5,adidas wmns ultra boost x trace maroon,Oct,Thursday,TRUE,TRUE,FALSE,FALSE,trace maroon   ash pearl   chalk coral,Blue,119
AQ1090-006,Nike React Element 87 Blue Chill Solar Red,Nike,10/11/18,160,Black/Cool Grey-Blue Chill-Solar Red,"This multicolor offering of the Nike React Element 87 sees the shoe covered in Black throughout the signature translucent upper with Cool Grey, Blue Chill, and Solar Red detailing placed throughout the shoe. The React midsole is done in Black along with Solar Red accents for a punch.",819,nike react element 87 blue chill solar red,Oct,Thursday,FALSE,FALSE,FALSE,FALSE,black cool grey blue chill solar red,Blue,194
AA2494-007,Air Jordan 18 Black Sport Royal 2018,Air Jordan,10/11/18,225,Black/Metallic Silver-Sport Royal,"After 15 years, the Air Jordan 18 Black Sport Royal from 2003 is finally making a comeback. Featuring the same OG colorway as a nod to the Washington Wizards, the sneaker is made of black suede across its upper with a removable shroud to hide its tongue and laces. The sneaker is contrasted with metallic silver upper eyelets and royal blue for the lining and trimming. Final details include flaps on the ankle inspired by the air vents of the Lamborghini Murcielago, while a blue midsole and black rubber sole completes the design.",4318,air jordan 18 black sport royal 2018,Oct,Thursday,FALSE,FALSE,FALSE,FALSE,black metallic silver sport royal,Black,226
AQ1214,adidas WMNS Superstar Footwear White Grey One,Adidas,10/9/18,100,Footwear White / Footwear White / Grey One,"These adidas Superstar was born in the '70s and keeps the look classic with a coated leather upper. They feature all the authentic details, including zigzag edging on the 3-Stripes and the signature rubber shell toe.",23,adidas wmns superstar footwear white grey one,Oct,Tuesday,TRUE,FALSE,FALSE,FALSE,footwear white   footwear white   grey one,White,127
AO2406001,Nike Air Max 97 BW Black,Nike,10/9/18,170,Black/Black-metallic,"The year was 1997 and visible Air had just reached the toe for the first time. Sitting atop the largest cushion of Air the world had seen was the sleek silver of a bullet train. The Air Max 97 BW takes the 1997 Air unit and throws it back to Tinker Hatfield’s 1991 Air Max Classic BW, in a mashup for the ages.",88,nike air max 97 bw black,Oct,Tuesday,FALSE,FALSE,FALSE,FALSE,black black metallic,Black,100
B37910,adidas Stan Smith Clear Brown Collegiate Green,Adidas,10/9/18,100,Clear Brown / Clear Brown / Collegiate Green,"Built with soft leather inside and out, the adidas Stan Smith has the same clean design lines, low top profile, and sturdy rubber cupsole as the 1970s original. Perforated 3-Stripes on the sides are an understated nod to adidas heritage.",12,adidas stan smith clear brown collegiate green,Oct,Tuesday,FALSE,FALSE,FALSE,FALSE,clear brown   clear brown   collegiate green,Brown,50
B41477,adidas Stan Smith Footwear White Base Green,Adidas,10/9/18,100,Footwear White / Footwear White / Base Green,"Built with soft leather inside and out, the adidas Stan Smith has the same clean design lines, low top profile, and sturdy rubber cupsole as the 1970s original. Perforated 3-Stripes on the sides are an understated nod to adidas heritage.",18,adidas stan smith footwear white base green,Oct,Tuesday,FALSE,FALSE,FALSE,FALSE,footwear white   footwear white   base green,White,41
B41476,adidas Stan Smith Footwear White Pale Nude,Adidas,10/9/18,100,Footwear White / Footwear White / St Pale Nude,"Built with soft leather inside and out, the adidas Stan Smith has the same clean design lines, low top profile, and sturdy rubber cupsole as the 1970s original. Perforated 3-Stripes on the sides are an understated nod to adidas heritage.",19,adidas stan smith footwear white pale nude,Oct,Tuesday,FALSE,FALSE,FALSE,FALSE,footwear white   footwear white   st pale nude,White,61
AV8074800,Nike Zoom Fly SP Team Orange,Nike,10/9/18,170,Team Orange/Black-sail,"The Nike Zoom Fly is designed to meet the demands of your toughest tempo runs, long runs and race day with a responsive construction that turns the pressure of each stride into energy return for the next.",33,nike zoom fly sp team orange,Oct,Tuesday,FALSE,FALSE,FALSE,FALSE,team orange black sail,Blue,92
AV8074001,Nike Zoom Fly SP Light Bone Olive,Nike,10/9/18,170,Light Bone/Black -olive,"The Nike Zoom Fly is designed to meet the demands of your toughest tempo runs, long runs and race day with a responsive construction that turns the pressure of each stride into energy return for the next.",22,nike zoom fly sp light bone olive,Oct,Tuesday,FALSE,FALSE,FALSE,FALSE,light bone black  olive,Red,92
AA1103800,Nike WMNS Air Max 95 LX Guava Ice,Nike,10/9/18,170,Guava Ice/Guava Ice,"Designed for everyday, anytime wear, the Nike Air Max 95 updates a legendary silhouette and revisits the outstanding cushioning that made the original a hit with runners when it debuted in 1995.",243,nike wmns air max 95 lx guava ice,Oct,Tuesday,TRUE,FALSE,FALSE,FALSE,guava ice guava ice,Orange,151
AJ2998004,Nike Air More Money Black Gum,Nike,10/9/18,160,Black / Black-gum Light Brown,"Combining design aspects of the Nike Air More Uptempo and the Nike Air Money, the Nike Air More Money makes a bold statement. It features a removable shroud that covers the tongue, giving you multiple ways to customize the look.",148,nike air more money black gum,Oct,Tuesday,FALSE,FALSE,FALSE,FALSE,black   black gum light brown,Black,95
B37620,adidas NMD R1 Base Green Night Cargo,Adidas,10/8/18,150,Base Green / Night Cargo / Solar Orange,"Inspired by the pioneering spirit of running designs from the mid-'80s, the NMD series celebrates a time when wearable technology was exciting and new. These shoes translate the retro-tech style for today's streets with a modern knit upper.and a Boost midsole.",63,adidas nmd r1 base green night cargo,Oct,Monday,FALSE,FALSE,FALSE,FALSE,base green   night cargo   solar orange,Green,97
B37653,adidas WMNS NMD R1 Aero Blue,Adidas,10/8/18,150,Aero Blue / Aero Blue / Cloud White,"Inspired by the pioneering spirit of running designs from the mid-'80s, the NMD series celebrates a time when wearable technology was exciting and new. These shoes translate the retro-tech style for today's streets with a modern knit upper.and a Boost midsole.",87,adidas wmns nmd r1 aero blue,Oct,Monday,TRUE,FALSE,FALSE,FALSE,aero blue   aero blue   cloud white,Blue,101
B37621,adidas NMD R1 Core Black Solar Orange,Adidas,10/8/18,150,Core Black / Core Black / Solar Orange,"Inspired by the pioneering spirit of running designs from the mid-'80s, the NMD series celebrates a time when wearable technology was exciting and new. These shoes translate the retro-tech style for today's streets with a modern knit upper.and a Boost midsole.",131,adidas nmd r1 core black solar orange,Oct,Monday,FALSE,FALSE,FALSE,FALSE,core black   core black   solar orange,Black,108
163862C,OFF-WHITE x Converse Chuck 70 Stripe,Converse,10/8/18,130,White/Bold Orange-Black,"Featuring a white canvas upper that is detailed with OFF-White’s signature branding, the model is also highlighted with the brand’s alternating stripe pattern on the midsole and zip tie tag on the laces. Finishing details include a mini orange tab on the Converse logo, orange outsole and printed shoelaces.",1509,offwhite x converse chuck 70 stripe,Oct,Monday,FALSE,TRUE,FALSE,FALSE,white bold orange black,White,320
384664-104,Air Jordan 6 Tinker,Air Jordan,10/6/18,190,White/Infrared 23-Neutral Grey-White-Sail,"The original sketches that Tinker Hatfield made for the OG White Infrared Air Jordan 6 is transformed into real design with this Air Jordan 6 Tinker. Sporting an official color scheme of White, Infrared 23, Neutral Grey, White, and Sail, the sneaker is covered in the clean hue across its leather upper with grey underlays, followed by darker hues applied on the midsole, tongue and heel tab. Finally, pops of Infrared throughout and an icy outsole tops it all off.",22631,air jordan 6 tinker,Oct,Saturday,FALSE,FALSE,FALSE,FALSE,white infrared 23 neutral grey white sail,White,152
AR4349400,Gyakusou x Nike Zoom Fly SP Blue Nebula,Nike,10/6/18,190,Blue Nebula/Sail-black-university Red,"The Gyakusou x Nike Zoom Fly SP Blue Nebula is one of three colorways releasing for this exclusive collaboration with designer Jun Takahashi. The runner features a semi-translucent upper coated in the bold hue, while highlighted with Jun Takahashi’s signature UNDERCOVER crossbones logo on the heel area. Finally, a matching blue sole with a contrasting black steak, white Swooshes, and Gyakusou branding completes the design.",30,gyakusou x nike zoom fly sp blue nebula,Oct,Saturday,FALSE,TRUE,FALSE,FALSE,blue nebula sail black university red,Blue,164
AR4349001,Gyakusou x Nike Zoom Fly SP Black,Nike,10/6/18,190,Black/Sail-mineral Yellow,"The Gyakusou x Nike Zoom Fly SP Black is one of three colorways releasing for this exclusive collaboration with designer Jun Takahashi. The runner features a semi-translucent upper coated in the bold hue, while highlighted with Jun Takahashi’s signature UNDERCOVER crossbones logo on the heel area. Finally, a matching black sole with a contrasting white steak, white Swooshes, and Gyakusou branding completes the design.",28,gyakusou x nike zoom fly sp black,Oct,Saturday,FALSE,TRUE,FALSE,FALSE,black sail mineral yellow,Yellow,175
AR4349500,Gyakusou x Nike Zoom Fly SP Ink,Nike,10/6/18,190,Ink/Sail-dark Grey-black,"The Gyakusou x Nike Zoom Fly SP Ink is a new exclusive iteration of the silhouette designed by UNDERCOVER’s Jun Takahashi. The runner’s semi-translucent upper is coated in a light purple hue while highlighted with Jun Takahashi’s signature crossbones logo on the side of the heel. Finally, a matching ink sole with a contrasting white steak, and Gyakusou branding completes the design altogether.",23,gyakusou x nike zoom fly sp ink,Oct,Saturday,FALSE,TRUE,FALSE,FALSE,ink sail dark grey black,Black,147
B22714,adidas Campus ADV Collegiate Burgundy,Adidas,10/6/18,80,Collegiate Burgundy/Cloud White-Cloud White,"The adidas Campus ADV features a classic suede upper, tactile rubber cupsole with exposed ‘Bounce’ midsole for impact absorption and balanced flexibility, while a ‘Geoflex’ herringbone tread offers superior grip. For increased durability, the Campus ADV is constructed with double layered suede in high-abrasion zones and cold-pressed eyestays. A Geofit no-slip tongue construction and molded EVA lining provide exceptional form-fitting comfort to ensure uncompromised board feel.",146,adidas campus adv collegiate burgundy,Oct,Saturday,FALSE,FALSE,FALSE,FALSE,collegiate burgundy cloud white cloud white,White,57
716890-816,Nike SB Blazer Low GT Bruised Peach,Nike,10/6/18,85,Orange/White,"Born and raised in the “Peach State” otherwise known as Georgia, professional skateboarder and Atlanta native Grant Taylor calls the Blazer his shoe of choice. In his latest collaboration with Nike SB, Taylor pays homage to his Southern roots as well as the many bruises he acquired when learning to skate the streets of Atlanta. This Nike SB Blazer Low features an orange suede upper with white detailing on the Swoosh and heel that wears away and becomes purple over time, much like when a peach changes color when it becomes bruised. An embroidered bruised peach graphic on each heel wrap things up.",37,nike sb blazer low gt bruised peach,Oct,Saturday,FALSE,FALSE,FALSE,FALSE,orange white,White,97
B41792,Pharrell x adidas Tennis Hu Cloud White,Adidas,10/5/18,110,Cloud White / Cloud White / Chalk White,"The Pharrell x adidas Tennis Hu features a lightweight and breathable knitted upper with Pharrell and adidas branding on the tongue and heel tabs, stitched three stripes branding on the side panels, rope laces, and textured rubber midsoles.",55,pharrell x adidas tennis hu cloud white,Oct,Friday,FALSE,TRUE,FALSE,FALSE,cloud white   cloud white   chalk white,White,114
AH2451,adidas RapidaRun GS Avengers,Adidas,10/5/18,60,Core Black / Core Black / Core Black,"Feet that jump, leap and race all day need shoes that can take the hit. These shoes respond with cushion and support. They have soft cloudfoam surround with memory foam to absorb impact. A mesh upper with overlays offers extra support at the forefoot, midfoot and heel.",3,adidas rapidarun gs avengers,Oct,Friday,FALSE,FALSE,FALSE,TRUE,core black   core black   core black,Black,60
AH2608,adidas RapidaRun Knit GS Core Black,Adidas,10/5/18,65,Core Black / Cloud White / Carbon,"Feet that jump, leap and race all day need shoes that can take the hit. These shoes respond with cushion and support. They have soft cloudfoam surround with memory foam to absorb impact. A knitted upper with overlays offers extra support at the forefoot, midfoot and heel.",3,adidas rapidarun knit gs core black,Oct,Friday,FALSE,FALSE,FALSE,TRUE,core black   cloud white   carbon,Black,65
942855007,Nike WMNS Air Zoom Pegasus 35 Black Metallic Gold,Nike,10/5/18,120,Black/Metallic Gold-wheat Gold,"The Nike Air Zoom Pegasus 35 is built for runners at every level, whether you're a seasoned veteran or just easing into your first running routine. It features a breathable mesh upper that supports your foot without limiting your movement. Down below, the cushioning has been updated to deliver a smoother, more natural stride, as well as the same comfort and support runners have come to love.",6,nike wmns air zoom pegasus 35 black metallic gold,Oct,Friday,TRUE,FALSE,FALSE,FALSE,black metallic gold wheat gold,Black,120
CM8115,adidas Ultra Boost 4.0 Night Red,Adidas,10/5/18,180,Night Red / Night Red / Noble Maroon,The adidas Ultra Boost 4.0 combine comfort and high-performance technology for a best-ever-run feeling. They have a stretchy knit upper that adapts to the changing shape of your foot as you run. Responsive Boost midsole cushioning and a flexible outsole deliver a smooth and energized ride.,30,adidas ultra boost 40 night red,Oct,Friday,FALSE,FALSE,FALSE,FALSE,night red   night red   noble maroon,Red,106
AO8980600,Nike Kyrie Low Hot Punch,Nike,10/5/18,110,Hot Punch/Hot Punch,The Kyrie Low gives you responsive cushioning for sudden step-backs or killer crossovers. The curved outsole wraps the edges for traction on quick cuts that are the hallmark of Kyrie’s explosive style of play.,170,nike kyrie low hot punch,Oct,Friday,FALSE,FALSE,FALSE,FALSE,hot punch hot punch,Red,97
815994-003,Nike Air Max Plus Premium Black Matte Silver,Nike,10/5/18,170,Black/Matte Silver/Volt,"Featuring a neoprene/mesh with leather upper, coated in black, the signature synthetic caging overlay is removed but still detailed with tonal stitching throughout. Other details include matte silver accents throughout, a matching speckled silver midsole with a pop of volt in the Air Max cushioning. Finally, a black outsole completes the design.",257,nike air max plus premium black matte silver,Oct,Friday,FALSE,FALSE,FALSE,FALSE,black matte silver volt,Black,133
CM8111,adidas Ultra Boost 4.0 White Multicolor,Adidas,10/5/18,180,White / Multi-color,The adidas Ultra Boost 4.0 combine comfort and high-performance technology for a best-ever-run feeling. They have a stretchy knit upper that adapts to the changing shape of your foot as you run. Responsive Boost midsole cushioning and a flexible outsole deliver a smooth and energized ride.,77,adidas ultra boost 40 white multicolor,Oct,Friday,FALSE,FALSE,FALSE,FALSE,white   multi color,Multi-Color,122
815994-700,Nike Air Max Plus Premium Volt,Nike,10/5/18,170,Full Volt/Matte Silver,"The Nike Air Max Plus Premium Volt is a new colorway of the silhouette. Made of neoprene/mesh with leather overlays for its upper, covered in the bright hue, the signature synthetic caging overlay is removed but still detailed with tonal stitching throughout. Other details include black accents for the lining and lace loops, followed by matte silver Swooshes, a matching silver midsole with speckling revealing more volt in the Air Max cushioning and finally, a black outsole to top it off.",233,nike air max plus premium volt,Oct,Friday,FALSE,FALSE,FALSE,FALSE,full volt matte silver,Multi-Color,137
AV6247-100,Nike Air Force 1 Low Utility White Black,Nike,10/5/18,145,White/Black,"The Nike Air Force 1 Low Utility is a new iteration of the classic silhouette for Fall 2018, and the timeless design has been revamped with a touch of military details. Featuring a premium white leather upper, the sneaker is updated with contrasting black ballistic nylon buckle straps instead of the original lacing system. The mid-foot strap also features a large white Swoosh followed by more black nylon appearing at the mesh branded tongue tab and D-ring heel pull tab. Finally, a creamy, off-white rubber sole that glows in the dark tops it all off.",261,nike air force 1 low utility white black,Oct,Friday,FALSE,FALSE,FALSE,FALSE,white black,Black,180
AH8425-600,Nike Air Force 1 Ultra Flyknit Low RKK New England Patriots,Nike,10/5/18,160,University Red/Navy,"The Nike Air Force 1 Ultra Flyknit Low returns this Fall 2018 in a very special colorway nicknamed “RKK” that honors New England Patriot’s owner and legend Robert Kraft. Celebrating 25 years of the Kraft family ownership, the sneaker’s revamped knitted upper features red and navy hues, with white accents throughout to represent the Patriots colors. Leather accents for the Swooshes, tongue, and heel tab detailed with the Patriots logo, followed by a white/navy Ultra sole completes the design.",198,nike air force 1 ultra flyknit low rkk new england patriots,Oct,Friday,FALSE,FALSE,FALSE,FALSE,university red navy,Red,248
AJ7748100,Nike Air Force 1 Low Sport White Black,Nike,10/4/18,100,White/Black-white,"This Nike Air Force 1 Low takes on a full white leather upper with black and grey accents present on the inner liner, laces, Swoosh branding, heel, and the piping on the midsole. A nice added feature can be seen on the heels where both shoes are hit with the Jerry West NBA logo and AF-1 to denote the collaboration. This is a pair that can easily match up with the San Antonio Spurs uniforms.",230,nike air force 1 low sport white black,Oct,Thursday,FALSE,FALSE,FALSE,FALSE,white black white,White,88
BB7674,adidas Sobakov Black Chalk Coral,Adidas,10/4/18,120,Core Black/Chalk Coral-Core Black,The adidas Sobakov is constructed out of a lightweight knit upper with stitched dered textures and a minimalist lacing system. The shoe’s most notable feature is the unorthodox wraparound 3-stripe branding inspired by the Predator precision stripes . Below you will find a distinctive chevron outsole that adds even more unique detailing to the shoe’s design. Trefoil logo branding on the heel and tongue round out the main features of the shoe.,133,adidas sobakov black chalk coral,Oct,Thursday,FALSE,FALSE,FALSE,FALSE,core black chalk coral core black,Black,73
BB6538,adidas Adizero Boston 7 Carbon,Adidas,10/4/18,120,Carbon / Core Black / Hi-res Red,"Feel light, fast and connected to the road in these running shoes. Made of highly breathable air mesh, the shoes feature a Microfit system that locks down the heel and midfoot for a secure fit. Responsive cushioning and a flexible outsole deliver a smooth and energized ride.",1,adidas adizero boston 7 carbon,Oct,Thursday,FALSE,FALSE,FALSE,FALSE,carbon   core black   hi res red,Black,120
AV3938100,Nike Air Force 1 High Sport Knicks,Nike,10/4/18,130,White/Team Orange/Game Royal,"This special iteration of the model is part of Nike’s “For the Love of the Game” NBA Collection. Paying homage to the New York Knicks and its fans, the Nike Air Force 1 High Sport comes dressed in a White, Team Orange, and Game Royal color scheme. The design of the shoe consists of a White tumbled leather upper offset by the Orange and Royal Blue hits noted on areas such as the ankle strap, Swoosh branding, lining, tongue branding and heel tab. Other details include the series signature logo branded on the heel, White midsole and Game Royal outsole.",255,nike air force 1 high sport knicks,Oct,Thursday,FALSE,FALSE,FALSE,FALSE,white team orange game royal,White,93
AV8068-200,Nike Epic React Flyknit Mowabb,Nike,10/4/18,150,Golden Beige/Racer Blue-Total Orange,"This Nike Epic react Flyknit features a lightweight and breathable Flyknit upper that is dominated in Golden Beige while Racer Blue lands on the Swoosh branding, heel pull tab, and the back portion of the midsole. Total Orange can then be seen on the back half of the Flyknit upper as well as on the heel counter. A grey sole unit with pops of Racer Blue round out the look.",154,nike epic react flyknit mowabb,Oct,Thursday,FALSE,FALSE,FALSE,FALSE,golden beige racer blue total orange,Blue,89
B37635,adidas WMNS Prophere Trace Maroon,Adidas,10/4/18,120,Trace Maroon / Noble Maroon / Solar Red,The adidas Prophere brings fresh swagger to streetwear fashion. These shoes offer a playfully bold look with exaggerated proportions and standout textures. They combine a sturdy structured knit upper with a soft resilient midsole.,16,adidas wmns prophere trace maroon,Oct,Thursday,TRUE,FALSE,FALSE,FALSE,trace maroon   noble maroon   solar red,Red,70
B27817,adidas Alphabounce Instinct Raw Grey,Adidas,10/4/18,120,Raw Grey / Blue / Ash Pearl,"Designed to be the athlete's running shoe, these shoes have a soft and stretchy upper that hugs your foot for a snug and comfortable fit. A springy midsole provides medial and lateral reinforcement for midfoot lockdown.",11,adidas alphabounce instinct raw grey,Oct,Thursday,FALSE,FALSE,FALSE,FALSE,raw grey   blue   ash pearl,Blue,58
BB6649,adidas Adizero Tempo 9 Core Black,Adidas,10/4/18,120,Core Black / Hi-res Aqua / Mystery Ink,"The adidas Adizero Tempo 9 are built for a light ride to help you meet that challenge. The shoes combine an energy-returning dual-density Boost midsole with an origami-influenced webbing design on the upper for a smooth, responsive ride with enhanced support and flexibility. The STRETCHWEB outsole adapts and flexes to the way your foot hits the ground, delivering a secure grip in wet or dry conditions.",0,adidas adizero tempo 9 core black,Oct,Thursday,FALSE,FALSE,FALSE,FALSE,core black   hi res aqua   mystery ink,Black,120
BB6501,adidas WMNS Adizero Boston 7 Core Black,Adidas,10/4/18,120,Core Black / Cloud White / Real Magenta,"Feel light, fast and connected to the road in these running shoes. Made of highly breathable air mesh, the shoes feature a Microfit system that locks down the heel and midfoot for a secure fit. Responsive cushioning and a flexible outsole deliver a smooth and energized ride.",1,adidas wmns adizero boston 7 core black,Oct,Thursday,TRUE,FALSE,FALSE,FALSE,core black   cloud white   real magenta,White,120
AQ0199,adidas WMNS Adizero Boston 7 Grey,Adidas,10/4/18,120,Grey/White,"Feel light, fast and connected to the road in these running shoes. Made of highly breathable air mesh, the shoes feature a Microfit system that locks down the heel and midfoot for a secure fit. Responsive cushioning and a flexible outsole deliver a smooth and energized ride.",4,adidas wmns adizero boston 7 grey,Oct,Thursday,TRUE,FALSE,FALSE,FALSE,grey white,White,230
AQ4006,adidas Ultra Boost 2.0 Red Gradient,Adidas,10/4/18,180,Solar Red/Pow Red-Black,"Covered in an official color scheme of Solar Red, Pow Red, and Black, the Primeknit upper is highlighted with a gradient finish with a blend of Red and Orange hues. Finally, a red cage overlay, contrasting black heel counter with silver branding, a white Boost midsole, and black rubber outsole tops it off.",150,adidas ultra boost 20 red gradient,Oct,Thursday,FALSE,FALSE,FALSE,FALSE,solar red pow red black,Red,130
B37660,adidas WMNS Prophere Core Black Shock Pink,Adidas,10/4/18,120,Core Black / Shock Pink / Carbon,The adidas Prophere brings fresh swagger to streetwear fashion. These shoes offer a playfully bold look with exaggerated proportions and standout textures. They combine a sturdy structured knit upper with a soft resilient midsole.,11,adidas wmns prophere core black shock pink,Oct,Thursday,TRUE,FALSE,FALSE,FALSE,core black   shock pink   carbon,Black,97
B37467,adidas Prophere Core Black Shock Lime,Adidas,10/4/18,120,Core Black / Core Black / Shock Lime,The adidas Prophere brings fresh swagger to streetwear fashion. These shoes offer a playfully bold look with exaggerated proportions and standout textures. They combine a sturdy structured knit upper with a soft resilient midsole.,29,adidas prophere core black shock lime,Oct,Thursday,FALSE,FALSE,FALSE,FALSE,core black   core black   shock lime,Black,60
B37073,adidas Prophere Carbon,Adidas,10/4/18,120,Carbon / Carbon / Pyrite,The adidas Prophere brings fresh swagger to streetwear fashion. These shoes offer a playfully bold look with exaggerated proportions and standout textures. They combine a sturdy structured knit upper with a soft resilient midsole.,18,adidas prophere carbon,Oct,Thursday,FALSE,FALSE,FALSE,FALSE,carbon   carbon   pyrite,Green,57
AQ5937,adidas WMNS Ultra Boost 2.0 Shock Mint,Adidas,10/4/18,180,Shock Mint/Ice Mint-Tech Green,"This adidas Ultra Boost 2.0 features a full Primeknit upper with that gradient pattern hitting the toe and side panels. Shock Mint, Ice Mint, and Tech Green all combine on the upper while a dark shade of green is seen on the heel counter and Mint Green gets placed on the cage overlay. Finishing things off are a white Boost midsole and black Continental rubber outsole.",81,adidas wmns ultra boost 20 shock mint,Oct,Thursday,TRUE,FALSE,FALSE,FALSE,shock mint ice mint tech green,Green,121
384665104,Air Jordan 6 GS Tinker,Air Jordan,10/4/18,140,White/Red/Grey,"The Air Jordan 6 Tinker is a new iteration that gets its colorway from Bo Jackson’s classic 1990 Air Trainer SC II, and it’s also inspired by the original sketches that Tinker Hatfield made for the OG White Infrared Air Jordan 6. Covered in White, Infrared 23, Neutral Grey, White, and Sail, the sneaker features the clean hue across its leather upper with grey underlays, followed by darker hues applied on the midsole, tongue and heel tab to complete the design.",107,air jordan 6 gs tinker,Oct,Thursday,FALSE,FALSE,FALSE,TRUE,white red grey,White,129
G26841,adidas Ultra Boost Mid Black Multicolor,Adidas,10/4/18,220,Black/Multicolor-Black,"This new colorway of the adidas Ultra Boost Mid comes covered in black all throughout the upper which has been constructed out of Primeknit with tonal overlays. Additional details include an elastic ankle, pops of red on the tongue and heel pull tabs, a full-length white Boost midsole, and a black/multicolored Continental rubber outsole.",201,adidas ultra boost mid black multicolor,Oct,Thursday,FALSE,FALSE,FALSE,FALSE,black multicolor black,Black,113
G26842,adidas Ultra Boost Mid White Multicolor,Adidas,10/4/18,220,White/Mutlticolor-White,"Constructed out of a Primeknit material all throughout the upper, this adidas Ultra Boost Mid comes done in a clean white hue with contrasting hits of light grey on the three stripes branding and the overlays on the toe and mudguard. Pops of yellow on the tongue and heel pull tab, a full-length white Boost midsole, and a white/multicolor continental rubber outsole wrap things up.",205,adidas ultra boost mid white multicolor,Oct,Thursday,FALSE,FALSE,FALSE,FALSE,white mutlticolor white,White,90
AJ3857-600,Nike Zoom VaporFly 4% Flyknit Bright Crimson,Nike,10/4/18,250,Bright Crimson/Ice Blue,"This new updated of the Nike Zoom VaporFly 4% utilizes Flyknit in the construction of the upper which results in a lighter, and more breathable ride. Although the construction of the upper has changed, the revolutionary technology that is the hallmark of the 4% system remains the same. Created in conjunction with Breaking2, the Nike Zoom Vaporfly 4% was designed with the goal of helping the world’s fastest marathoners run their best. It’ll also come equipped with the models signature Nike ZoomX foam cushioned sole.",156,nike zoom vaporfly 4 flyknit bright crimson,Oct,Thursday,FALSE,FALSE,FALSE,FALSE,bright crimson ice blue,Blue,289
369633 02,PUMA CELL Endura PUMA White,Puma,10/4/18,130,Puma White / Surf The Web,"The Puma CELL Endura comes with standout features such as the distinctive eyelets, a chunky silhouette, and its green CELL Technology. Staying true to its OG glory, the model is updated purely with new materials and new production techniques. It maintains the running tech detailing of the original model along with the rubber toe cap plus a unique eyelet stay for the laces. The sneaker’s last was referenced from the PUMA Archive and reworked to create a sleeker toe shape. The original CELL Endura was hand-stitched but this version has evolved with the times and features digital stitching. A breathable mesh upper with suede overlays and PU coated leather overlays cover the upper which sits atop an EVA midsole and rubber outsole.",97,puma cell endura puma white,Oct,Thursday,FALSE,FALSE,FALSE,FALSE,puma white   surf the web,White,65
AA3832-001,OFF-WHITE x Nike Blazer Mid Grim Reepers,Nike,10/3/18,130,Black/Cone-Black-White,"This OFF-WHITE x Nike Blazer Mid Grim Reepers is an exclusive iteration that joins the “All Hallows Eve” edition to make up the “Spooky Pack.” Colored to mimic the grim reaper, the shoe sports an official theme of Black, Cone, and White. The upper is made of leather, suede, and synthetics, with the relocated Swooshes, and Off-White text on the lateral side in contrasting white. More branding on the heel, Virgil’s signature zip-tie in light blue, mini orange tabs on the Swooshes, Nike branded heel tabs, “Shoelaces” printed on the laces, and a black rubber sole completes the design.",2105,offwhite x nike blazer mid grim reepers,Oct,Wednesday,FALSE,TRUE,FALSE,FALSE,black cone black white,Black,536
AA3832-700,OFF-WHITE x Nike Blazer Mid All Hallows Eve,Nike,10/3/18,130,Canvas/Pale Vanilla/Black-Total Orange,"The OFF-WHITE x Nike Blazer Mid All Hallows Eve edition is going to make its debut just in time before Halloween, and this pair sports a Canvas, Pale Vanilla, Black, and Total Orange color scheme. The upper features the cream hue, while contrasting accents of orange are seen on the deconstructed Swooshes on the sides and laces that feature “Shoelaces.” Finishing touches include black Off-White text on the inner lateral section, green tab on the Swoosh, followed by a matching rubber sole.",1897,offwhite x nike blazer mid all hallows eve,Oct,Wednesday,FALSE,TRUE,FALSE,FALSE,canvas pale vanilla black total orange,Orange,612
AQ1180,adidas Crazy BYW Clear Orange,Adidas,10/3/18,150,Cream White/Clear Orange-Clear Grey,"The adidas Crazy BYW is inspired by the natural movement of the ’90s-era FYW concept and retro design with a “Boost You Wear” midsole. Releasing in Cream White/Clear Orange, the neutral hue covers the suede upper with light grey accents on the side panels, while it’s contrasted with light pink/orange towards the lacing and tongue, along with a darker pink hue for its outlining of the eyestays. Finally, adidas branding on the tongue, white Boost midsole, and a semi-translucent pink gum outsole tops it all off.",127,adidas crazy byw clear orange,Oct,Wednesday,FALSE,FALSE,FALSE,FALSE,cream white clear orange clear grey,White,70
